Word                Count
curiosity           5
cut                 5
dead                5
direction           5
dropped             5
ears                5
eggs                5
executioner         5
faces               5
finish              5
finger              5
flamingo            5
happens             5
height              5
hookah              5
honour              5
hot                 5
important           5
instantly           5
interesting         5
jurymen             5
kid                 5
lay                 5
lizard              5
man                 5
mark                5
meant               5
moved               5
nervous             5
nine                5
number              5
often               5
pair                5
passed              5
piece               5
pocket              5
prizes              5
procession          5
quadrille           5
quietly             5
rule                5
sadly               5
school              5
sha'n't             5
shouldn't           5
shriek              5
shrill              5
shut                5
sighed              5
since               5
sounded             5
speaking            5
stole               5
strange             5
swam                5
swim                5
taking              5
temper              5
treacle             5
twice               5
until               5
usual               5
ventured            5
walk                5
waving              5
whispered           5
won                 5
yer                 5
young               5
wanted              4
to-day              4
thoughtfully        4
they'll             4
they'd              4
thank               4
tea-party           4
taste               4
taken               4
sounds              4
sometimes           4
sigh                4
sides               4
shouting            4
shoulders           4
shoulder            4
severely            4
several             4
says                4
questions           4
puzzling            4
otherwise           4
opening             4
moving              4
means               4
managed             4
m                   4
jury-box            4
jumping             4
held                4
hearing             4
green               4
fellow              4
fallen              4
earth               4
curiouser           4
croquet-ground      4
comes               4
bottom              4
bill's              4
begins              4
answered            4
alone               4
age                 4
alarm               4
alas                4
animals             4
arches              4
argument            4
bats                4
beat                4
beauootiful         4
besides             4
boots               4
bowed               4
box                 4
busily              4
ca'n't              4
capital             4
care                4
caucus-race         4
chance              4
confused            4
creature            4
crowd               4
cry                 4
crumbs              4
dare                4
days                4
decidedly           4
deeply              4
difficulty          4
digging             4
dish                4
doubt               4
duck                4
ebook               4
escape              4
fast                4
fear                4
french              4
frowning            4
girl                4
grass               4
ground              4
guinea-pigs         4
hours               4
impatiently         4
indignantly         4
judge               4
jurors              4
kitchen             4
led                 4
less                4
list                4
lives               4
mabel               4
miss                4
morning             4
natural             4
night               4
none                4
officers            4
ordered             4
outside             4
pale                4
paper               4
panting             4
part                4
passage             4
paws                4
perfectly           4
person              4
pictures            4
plan                4
pointing            4
porpoise            4
quarrelling         4
rabbit-hole         4
reach               4
rose-tree           4
run                 4
savage              4
screamed            4
second              4
short               4
shrinking           4
sky                 4
sobs                4
solemnly            4
sound               4
stairs              4
stick               4
stuff               4
suppressed          4
taught              4
text                4
thimble             4
tiny                4
tongue              4
tree                4
twelve              4
twinkling           4
uncomfortable       4
vanished            4
verses              4
verse               4
water               4
worth               4
writing             4
yours               3
yesterday           3
wrote               3
whatever            3
voices              3
verdict             3
turtle's            3
turns               3
tucked              3
trumpet             3
trial's             3
timid               3
throw               3
tasted              3
tails               3
stopped             3
speech              3
spectacles          3
sorts               3
somewhere           3
solemn              3
smaller             3
sighing             3
show                3
shore               3
sharply             3
serpents            3
saucepan            3
rules               3
